nombre,dni,genero,pelicula,formato,precio,fecha_visita,Año,Género,Rating (pro),Votos
Christopher Black,20499160,M,The Girl in Yellow,Normal,7.55,2025-10-17,2024,Horror,8.2,15.0
Amanda Schmidt,83454342,F,Los sueños de Tay-Pi,3D,10.1,2025-08-20,1952,Animation,,
Chad Garcia,23355882,M,Payane Yek Kaboos,Normal,8.26,2025-06-21,2015,,,
Chelsea Taylor,91433904,F,Striker,3D,10.44,2025-06-08,2010,"Action,Crime,Drama",6.9,1103.0
Andrew Lowe,16092871,M,The Firegod,3D,10.44,2026-04-15,1985,,,
Mike Smith,69077027,M,The Legacy of a Whitetail Deer Hunter,3D,12.56,2025-10-26,2018,"Comedy,Drama",5.5,4479.0
Matthew Wagner,60606026,M,Vorvik,3D,12.85,2025-12-11,2005,Drama,5.0,88.0
Monica Barry,33401789,F,Smoke and Mirrors,3D,11.18,2026-01-29,,Fantasy,,
Mr. Justin Smith,35133274,M,Tug,Normal,8.67,2025-12-09,2010,"Comedy,Romance",6.7,85.0
Stephanie Hill,79054324,F,Rave,Normal,7.52,2026-01-23,,Documentary,,
Jessica Rivas,46837772,F,Spy eyes: Algérie pour toujours 2,3D,10.6,2025-06-10,,Action,,
Anthony Gentry,82742081,M,Shreddin' Vacation from Hell,Normal,7.52,2026-06-02,1989,"Comedy,Sport",,
Todd Manning,15232159,M,Southern Carrier,3D,13.72,2025-08-03,1937,Drama,6.7,66.0
Gregory Bright,68581890,M,Derby Della Capitale,Normal,7.48,2026-04-15,2016,Action,,
Michael Lara,72654422,M,Exchange,Normal,7.06,2025-09-12,2016,Comedy,9.0,14.0
Crystal Brown,82415887,F,A Reno Divorce,3D,13.79,2026-01-08,1927,"Drama,Romance",,
Christy Kramer,73889527,F,Breadcrumbs,Normal,8.29,2025-07-29,2016,Drama,6.5,123.0
Jaime Williams,62841808,M,These Are My Hours,3D,10.17,2025-11-07,2018,Documentary,7.2,28.0
Michael Thompson,92479939,M,Mad Dogs,3D,13.97,2026-05-07,2016,Documentary,8.5,11.0
Kendra Baker,92458164,F,Outcast,3D,12.92,2026-04-13,1922,,,
Michelle Schmidt,87247316,F,Shanubhogara Magalu,Normal,8.23,2025-10-07,2025,Drama,,
Courtney Case,19163736,F,Hot Milk,Normal,8.37,2025-10-08,2025,Drama,5.6,3801.0
Angela Dunn,58269274,F,Broken Hearts,3D,11.15,2026-01-25,1920,Drama,,
Mary Patterson,88361583,F,Qashghaee Tribe Bride,3D,10.32,2026-02-28,2005,Documentary,,
Teresa Gregory,64395105,F,Sarbahara,3D,13.31,2025-06-30,1948,Drama,,
Chad Torres,11947694,M,Duel of the Seven Tigers,3D,10.74,2026-03-26,1979,"Action,Drama",5.8,190.0
Stephanie Keller,14483977,F,$1000 a Minute,3D,13.41,2025-09-13,1935,"Comedy,Romance",6.0,232.0
Brian Yu,28887021,M,For Our Day: Divinely Sanctioned Governments,Normal,8.83,2025-07-28,2013,Documentary,,
Michael Garcia,12627933,M,The Wedding Diary 2,Normal,6.58,2026-01-01,2013,"Comedy,Romance",6.3,39.0
Alicia Williams,74931305,F,Fragmentos de Lucía,Normal,7.44,2025-07-07,2016,Drama,8.1,98.0
Matthew Martinez,33401907,M,Boogieman,Normal,6.47,2026-04-26,,"Comedy,Drama,Music",,
Amy Brock,30038918,F,Besh Korechi Prem Korechi,3D,10.91,2025-09-18,2015,"Action,Romance",4.8,456.0
Sabrina Davis,44727721,F,The Brawler,3D,10.17,2026-01-29,2018,Thriller,,
Benjamin Saunders,77980144,M,The Residents,Normal,8.49,2026-03-17,2010,Drama,5.4,16.0
Christina Patterson,50265848,F,Encantados,3D,10.88,2025-10-08,2014,"Drama,Romance",7.1,59.0
Mary Duncan,87254685,F,Gauner-Serenade,3D,13.08,2026-01-03,1960,"Comedy,Musical",,
Charles Long,92776226,M,Thomas & Friends ERTL Adventures: Railway Clone Invasion,Normal,8.69,2026-04-17,2022,"Action,Adventure,Family",,
Katrina Terry,66696876,F,The Guy at Simenting,Normal,8.93,2025-06-22,1981,"Action,Adventure,Drama",,
Amber Quinn,71650840,F,Lambasingi,Normal,7.66,2026-04-05,2024,Drama,6.2,57.0
Joanna Smith,29544650,F,Just Play the Clash,3D,13.74,2025-10-11,2015,Music,,
Shawn Copeland,22977625,M,Passage to Ecstasy,3D,10.93,2025-08-22,1985,Adult,5.3,77.0
Katrina Gordon,82940292,F,Kalankini,Normal,6.75,2026-05-13,1981,Drama,,
Monica Gray,73301171,F,Rangoon,3D,12.6,2026-03-02,2017,"Action,Crime,Drama",7.0,778.0
Megan Reyes,22155075,F,Butterfly Rising,Normal,7.49,2025-08-06,2011,Drama,6.8,30.0
Lucas Lee,53132136,M,Sergeant Pepper,Normal,8.86,2025-12-07,2004,Family,5.2,167.0
Gregory Rivera,23151733,M,Inzetsu bôkô-ma: Mawashi,3D,13.35,2025-07-21,1979,,,
Wayne Taylor,45790428,M,Displaced,3D,10.48,2025-10-12,,Documentary,,
Daniel Jennings,16788313,M,The Merchant of Venice,3D,10.42,2025-09-06,2015,Drama,,
Sarah Brown,74203926,F,Untitled Roger Rodas Feature,Normal,6.22,2025-06-29,,"Biography,Drama",,
Jeffrey Romero,91694927,M,Viva,3D,10.7,2025-08-30,2026,"Comedy,Drama,Romance",5.0,27.0
Lee Blair,86182057,M,Bandook Dahej Ke Seenay Par,Normal,7.36,2025-12-14,1989,Action,3.5,8.0
Lindsey Webster,99548312,F,Full Moon,3D,13.14,2025-12-27,,"Action,Horror,Thriller",,
Tamara Williams,32167431,F,La capilla ardiente,3D,10.11,2026-02-23,1981,"Drama,Fantasy,Horror",5.7,33.0
Shane Ingram,64282220,M,Hotel Colón,Normal,8.78,2025-10-22,2022,Comedy,4.2,28.0
Jamie Harrison,53190326,F,Anth the End,3D,12.84,2026-03-12,2022,"Mystery,Thriller",6.0,1085.0
Amber Villa,89382923,F,From Below,Normal,8.91,2026-05-13,,"Horror,Thriller",,
William Avila,53734757,M,Dovbush,Normal,7.36,2025-06-24,2023,"Action,Adventure,Drama",7.3,2755.0
Austin Aguirre,70228087,M,Miryam,3D,12.37,2025-11-08,2020,Documentary,,
Christina Frazier,88793314,F,Broken Hearts,Normal,8.13,2025-11-22,1920,Drama,,
Elizabeth Fisher,15651511,F,Wundrlnd,Normal,8.2,2025-11-21,,"Adventure,Comedy,Drama",,
Dana Beck,76153033,F,Born in the Year of the Hare,3D,13.5,2026-03-10,2007,Documentary,,
David Savage,74955624,M,Crime Does Not Pay,Normal,8.17,2026-04-24,1962,"Comedy,Crime,Drama",6.3,202.0
James Lynch,49730265,M,The Road to Reconciliation,Normal,8.98,2026-01-27,2002,Documentary,,
Danielle Mitchell,67880185,F,Conductor 007,3D,13.75,2026-04-09,1966,Comedy,4.8,36.0
Timothy Frazier,51022556,M,Go Go Kill,3D,11.65,2026-02-08,,Action,,
Elizabeth Gonzalez,64901733,F,Wo ist mein Safe Space,3D,10.93,2026-02-02,2022,Documentary,7.4,7.0
Katrina Young,51255992,F,Va bank,3D,10.22,2026-05-20,1993,,7.9,19.0
Lindsey Kaiser,50738619,F,Fuga desesperada,3D,10.82,2026-01-21,1961,,4.3,10.0
Kimberly Harris,98666528,F,The Legacy of a Whitetail Deer Hunter,Normal,6.48,2026-04-20,2018,"Comedy,Drama",5.5,4479.0
Alexis Ward,89956680,F,Pocket Change,Normal,8.22,2025-11-13,,"Action,Comedy,Crime",,
Brandon Silva,55008217,M,The Citizen,3D,13.69,2026-03-12,2016,Drama,7.1,903.0
Kathryn Stewart,10460954,F,War of Worlds: Intergalactic Warfare,Normal,8.55,2026-04-26,,Action,,
Rebekah Mills,10314066,F,Face Eaters from Miami,Normal,7.84,2025-12-20,,Horror,,
Cynthia Norris,89351589,F,Marvelous and the Black Hole,Normal,6.87,2025-09-15,2021,"Comedy,Drama",6.2,2526.0
Mrs. Tiffany Ramsey,80986850,F,The Salvation Poem,Normal,6.35,2026-04-03,2009,Drama,4.7,115.0
James Levy,17790628,M,This Day Forward,Normal,7.58,2025-08-06,2018,Family,8.8,76.0
Taylor Webb,68757115,F,"The Manaus Opera House, Brazil",3D,12.07,2026-03-09,2005,Documentary,,
James Patterson,62013572,M,Bring Me the Head of Mavis Davis,3D,10.71,2026-04-25,1997,"Comedy,Crime,Music",5.2,597.0
Samuel Ali,90327439,M,The Zen of Julie Weiss,3D,11.2,2025-08-01,2024,Documentary,,
Dr. Dylan Garrison,46768468,M,Paragraf 224,3D,12.55,2025-08-26,1980,,4.6,11.0
Rachel Johnson,39783147,F,Iris,3D,12.16,2025-11-08,,"Horror,Thriller",,
Jennifer Johnson,63115594,F,Hard Killer,Normal,6.96,2026-05-03,2020,Action,,
Marc Wright,77005626,M,Every Day Is the End of the World,Normal,7.08,2026-04-25,2025,Horror,,
Donna Long,81576779,F,Besharam Ratein,Normal,6.21,2025-07-28,1990,Thriller,,
Alyssa Rhodes,75232031,F,Jeepney Boy,3D,11.11,2026-05-09,1966,"Action,Romance",,
Barbara Brown,56354494,F,Please Wear Pants,Normal,8.42,2026-02-28,,Comedy,,
Paula Lee,15206182,F,Access Denied,Normal,8.58,2026-01-16,2022,Documentary,,
Robert Garcia,22730703,M,The FA Cup Third Round Manchester United vs Leeds United,3D,12.3,2026-05-28,2010,Sport,,
Karen Fleming,10347894,F,Dakpin si Ben Escapo,Normal,6.43,2025-11-04,1982,"Action,Crime,Drama",,
Brittany Martin,39372711,F,Apoteosi,3D,11.72,2026-05-11,1934,,,
Joan Pacheco,34484193,F,China Dream,Normal,7.82,2025-08-08,2020,Documentary,7.3,7.0
Diana Thompson,21408323,F,Onkel Danny - Portræt af en karma cowboy,Normal,8.1,2025-09-07,2002,Documentary,5.9,171.0
Joseph Harris,72839968,M,In from the Side,Normal,8.47,2026-05-31,2022,"Drama,Romance,Sport",6.7,9226.0
Scott Dillon,18168591,M,La revanche du Sacristain cannibale,3D,12.62,2026-01-16,2006,Horror,,
Lori Hill,22798723,F,Blood Runs Cold,3D,10.34,2026-05-11,,Thriller,,
Raymond Benson,25612842,M,Kalankini,3D,12.6,2025-11-08,1981,Drama,,
Steven Ewing,25936272,M,Courted,Normal,8.82,2026-02-13,2015,"Comedy,Crime,Drama",6.5,2538.0
Vincent Thomas,17806655,M,A.W.A.I,Normal,6.59,2026-04-11,,Sci-Fi,,
Michelle Brown,62782043,F,Night of the Damned,3D,11.9,2026-03-21,1971,"Horror,Mystery",5.2,258.0
John Bowers,42931274,M,Pitiodhar,Normal,8.62,2025-07-28,1922,,,
Breanna Benson,46577815,F,Best Friend,Normal,6.38,2025-07-13,,"Drama,Romance",,
William Jones DVM,86592485,M,The Tunnel,Normal,7.9,2026-02-12,1952,Drama,6.3,42.0
Matthew Smith,48979150,M,The Longest Night,Normal,7.15,2026-03-06,1983,War,,
Jennifer Williams,40551945,F,Race Across Italy,Normal,6.85,2025-09-21,2021,Sport,,
Robert Hall,45480616,M,Palenque,3D,12.4,2026-05-25,1990,"Drama,Musical",,
David Turner,75488929,M,Sasquatch 1: It Begins; the Curse of the Were-squatch,Normal,6.44,2025-06-25,2018,Horror,7.2,12.0
Christopher Brock,91388824,M,Getting Worse,Normal,6.79,2026-05-27,2014,Action,,
Nicholas Hale,50977572,M,Through the Walls of the Heart,Normal,7.99,2026-04-02,2002,Documentary,7.7,10.0
Kelly Sparks,37377670,F,Freedom Radio,Normal,6.13,2026-05-09,,,,
Steven Whitaker,41534889,M,Vyrthok: Scourge of the Abyss,Normal,7.89,2025-07-11,,"Action,Horror,Sci-Fi",,
Kimberly Dalton,90554108,F,Texas Trap,3D,13.68,2026-05-21,2015,Action,6.4,16.0
Amanda Oneal,87277002,F,La promesse du biram,3D,13.27,2025-06-09,2016,Documentary,,
Paul Gomez,98888730,M,In Search of the Riyal,Normal,6.77,2025-11-21,2009,Documentary,,
Miranda Bryant,14529280,F,Have Kyare Malishu,3D,12.77,2026-01-28,2020,Drama,,
Andrew Fitzgerald,86055536,M,Tangled Lives,3D,11.85,2026-01-15,1917,Drama,,
Janet Thomas,38048210,F,Shachô sandaiki,3D,12.34,2026-02-28,1958,,6.1,14.0
Kimberly Herrera,86711060,F,À qui la faute,3D,10.29,2025-09-28,2018,Drama,,
Justin Moore,33732536,M,Life in One Chord,3D,11.71,2025-07-27,2025,Documentary,8.2,24.0
Michaela Williams,47047136,F,Nothing Left to Lose,3D,13.18,2026-02-20,1983,Drama,5.7,28.0
Barbara Austin,45255281,F,Every Day Is the End of the World,3D,13.52,2025-07-01,2025,Horror,,
Anthony Smith,97580986,M,Impeccable Henri,3D,10.34,2025-10-19,1948,"Comedy,Crime",,
Johnathan Smith,66487393,M,Echo,Normal,8.53,2025-11-04,1981,,,
Mario Leon,78434616,M,Petrol,Normal,8.7,2026-02-04,2005,Action,,
Lisa Bishop,61748246,F,My Experience,Normal,8.8,2025-11-01,2017,Drama,7.0,10.0
Kyle Clark,28001938,M,In Akharin Safar,3D,10.46,2025-12-28,2008,,5.0,11.0
Cheryl Harris,79156504,F,Mellusire Savigana,3D,13.12,2025-07-19,2004,,,
Kimberly Short,64669062,F,Uwakizuma: Sei no tani-watari,Normal,8.05,2025-09-09,1978,,,
Timothy Phelps,41362066,M,Whom the Gods Destroy,Normal,6.36,2025-07-03,1934,"Drama,Romance",7.0,119.0
Christine Charles,43053091,F,N-Capace,3D,11.33,2025-12-23,2014,"Documentary,Drama",5.9,97.0
Leslie James,72507810,F,La Cenerentola (Opera),Normal,8.18,2026-01-08,2023,,,
Brenda Case,39475097,F,The Camp Followers,Normal,6.5,2025-06-10,1965,"Drama,War",7.4,924.0
Keith Young,41805202,M,Mental,Normal,6.9,2025-09-06,2020,Documentary,,
Jacqueline Jarvis,97057060,F,Seda Mawathe,Normal,8.01,2026-04-22,2020,"Action,Drama",5.7,21.0
Steven Cohen,51884080,M,Thandie,Normal,6.99,2026-04-23,2025,Drama,,
Maria Ryan,88451739,F,Rubbers,Normal,8.99,2026-02-14,2010,"Drama,Romance",7.0,24.0
Jesse Ortega,89918421,M,Sound of the Spirits,Normal,6.37,2026-03-09,2024,Documentary,,
Jesse Anderson,80493964,M,Exchange,3D,10.8,2026-04-03,2016,Comedy,9.0,14.0
Michael Short,73965905,M,Broken Run,3D,12.85,2026-03-21,,"Action,Thriller",,
Heather Smith,48420006,F,Control; Alt; Delete: Dr. Stundel's Program to Reboot Your Dangerous Teen,3D,12.49,2025-09-09,,Comedy,,
Virginia Jackson,58508392,F,Loving Him,3D,10.75,2025-11-01,2018,Drama,,
Jennifer Monroe,22591512,F,The Laws of Eternity,Normal,8.25,2025-11-07,2006,Animation,5.6,77.0
Anthony Dickerson,27310126,M,Two Way Crossing,Normal,8.87,2026-03-02,1998,,5.7,17.0
Jacob Williams,22650350,M,Hell in the Heavens,3D,12.17,2026-05-07,1934,"Drama,War",7.1,53.0
Amanda Arnold,62647820,F,Analog,Normal,7.99,2026-04-12,2023,"Drama,Romance",6.6,229.0
Robert Long,93093166,M,Burma's Open Road: An Insight Into Myanymar,3D,12.87,2025-07-13,2007,Documentary,7.3,13.0
Travis Johnson,95165642,M,The Dowry,3D,12.39,2025-11-19,2025,Comedy,3.5,6.0
Elizabeth Miller,23338638,F,Romance in the Rain,3D,11.24,2025-10-29,1934,"Comedy,Mystery,Romance",,
Jonathan Parker,60386543,M,In from the Side,Normal,8.33,2026-03-01,2022,"Drama,Romance,Sport",6.7,9226.0
Julie Warren,63144491,F,The Brawler,3D,12.37,2025-07-25,2018,Thriller,,
Amanda Moreno,15580880,F,The Guy at Simenting,3D,10.52,2025-08-20,1981,"Action,Adventure,Drama",,
Maria Harris,69179597,F,The Body,Normal,6.69,2025-12-31,2001,"Drama,Mystery,Romance",5.4,8676.0
Linda Davidson,11315282,F,Manhattan Mistress,Normal,7.83,2025-07-20,1981,Adult,6.5,119.0
Evelyn Martin,95486817,F,Laxman,3D,13.11,2025-12-09,,Drama,,
Sean Roberts,38527712,M,De Koele Woede,Normal,7.54,2025-11-02,2008,Documentary,,
David Anderson,39158790,M,Words of Advice: William S. Burroughs on the Road,Normal,7.61,2025-10-01,2007,Documentary,7.6,22.0
Barbara Hogan,70410554,F,Hazugság,Normal,6.6,2026-05-19,1993,,,
Thomas Ibarra,81210762,M,Zvesti Prijatelji,Normal,8.75,2025-08-03,2004,Drama,,
Patrick Morgan,36755540,M,Bandook Dahej Ke Seenay Par,3D,10.91,2025-10-15,1989,Action,3.5,8.0
Juan Lopez,17440123,M,The Dowry,Normal,6.75,2025-12-17,2025,Comedy,3.5,6.0
Jessica Ward,96004337,F,False Thodoros,3D,12.35,2026-06-01,1963,Comedy,5.2,50.0
Elizabeth Conner,66679160,F,Sve si u pravu,Normal,8.97,2026-04-05,2024,Drama,8.2,6.0
Mrs. Tiffany Turner DDS,29558941,F,I Haven't Heard of Me Either,3D,12.96,2025-07-22,2019,Documentary,,
Tracy Mason,14890065,F,The Oscar Winner,3D,12.55,2026-04-10,,"Drama,Fantasy",,
Jonathan Walters,94721868,M,The Dark Places,Normal,7.2,2025-07-25,,Drama,,
Lindsey Hamilton,12546709,F,BEKS. Black Eyed Children,Normal,8.79,2025-08-02,,Horror,,
Mark Maxwell,80927028,M,Levensweg,Normal,8.27,2026-03-16,2011,Drama,,
Kevin Campbell,11470117,M,One Night in Taipei,Normal,7.35,2026-01-27,2015,"Comedy,Romance",3.8,121.0
Martin Thomas,95520422,M,Sullivan's Sluggers,3D,13.74,2026-01-21,,Horror,,
Christine Haley,58168561,F,Sametová kocovina,Normal,7.25,2026-01-31,2000,Documentary,5.9,21.0
Kimberly Taylor,35741871,F,Bordertown Blonde,Normal,8.21,2025-12-03,,"Comedy,Family",,
Steven Walls,38794897,M,As Certain as Death,Normal,8.42,2025-09-20,2023,Horror,2.8,217.0
Lisa Stephens,71491766,F,Secret Pleasures,3D,13.17,2026-04-14,2002,"Drama,Romance",4.2,483.0
Dawn Sims,84316579,F,Fahrenheit 11/9,3D,11.09,2026-02-18,2018,Documentary,7.2,21561.0
Charles Young,12362452,M,A Match Made at Christmas,Normal,8.74,2026-04-05,2021,"Comedy,Drama,Romance",5.3,931.0
Michael Fry,93833864,M,Vlyublyon po sobstvennomu zhelaniyu,Normal,7.83,2025-12-07,1982,"Comedy,Drama,Romance",7.3,961.0
Robert Ryan,61141490,M,DrugCula,3D,13.74,2025-09-03,2021,Sci-Fi,,
Alan Murphy,15450923,M,Ilik ilik,Normal,6.69,2026-05-04,1979,Drama,6.2,9.0
Jason Nguyen,60676099,M,Palenque,Normal,7.16,2026-04-06,1990,"Drama,Musical",,
Kelly Chan,45309075,F,The Flip Side,3D,10.46,2025-07-15,2001,"Comedy,Drama",6.3,42.0
Timothy Thompson,19962190,M,Bagheera,Normal,8.75,2025-12-01,2023,"Drama,Thriller",3.4,621.0
Melissa Cooper,44372092,F,La femme fatale,3D,12.92,2026-05-04,1946,Drama,6.0,11.0
Leah Allen,43169730,F,The Titled Tenderfoot,Normal,7.8,2025-08-18,1955,"Drama,Western",,
Heather Ward,59548033,F,Shanubhogara Magalu,3D,13.47,2026-05-11,2025,Drama,,
James Morales,79592065,M,Guardian of the Light,3D,10.63,2025-12-08,2019,Drama,7.5,98.0
Brittany Jordan,25726903,F,In Your Wildest Dreams,3D,10.5,2026-03-28,1991,"Drama,Family",5.2,137.0
Jennifer Cannon,26906412,F,Last Sin,3D,10.53,2026-01-21,1970,"Drama,Romance",5.8,10.0
Patricia Lester,32429620,F,The Foreman,Normal,8.32,2025-06-25,,"Crime,Drama",,
Michael Watson,74658453,M,In Akharin Safar,Normal,8.25,2026-04-15,2008,,5.0,11.0
Jasmin Hodges,94488091,F,The Master,3D,10.86,2026-02-20,1980,"Action,Comedy",6.7,496.0
Debbie Pratt,31221611,F,Bootcamp,Normal,7.22,2026-01-27,1999,Documentary,,
Barbara Hudson,78196307,F,Carl Th. Dreyer: My Métier,Normal,7.56,2026-04-28,1995,"Biography,Documentary,History",6.7,541.0
Michelle Stein,58814369,F,Self(Less) Portrait,Normal,7.71,2025-09-30,2014,Documentary,,
Veronica Ross,84522219,F,Life in One Chord,Normal,7.03,2026-02-27,2025,Documentary,8.2,24.0
Emily Tyler,99584701,F,Balance and Movement,Normal,7.53,2025-11-06,2005,Drama,3.8,1202.0
Amy Sanchez,52259958,F,Shanubhogara Magalu,Normal,7.43,2025-12-10,2025,Drama,,
Joseph Wallace,15355947,M,Aeternae,3D,13.73,2025-08-21,,Horror,,
Stephanie Robinson,56495459,F,Under Cover: My Four Years in the Nazi Underworld of America,Normal,6.2,2026-02-28,,"Drama,History",,
Sarah Blanchard,36543380,F,The Princess Comes Across,Normal,7.25,2026-05-30,1936,"Comedy,Crime,Mystery",6.7,1418.0
Yolanda Thomas,83170372,F,The Robbers,Normal,8.78,2025-09-07,2009,"Action,Comedy",5.5,265.0
Jenna Harrison,71254571,F,Rascal,3D,11.04,2025-07-26,2020,"Drama,Thriller",5.8,269.0
Jenna Harrison,71254571,F,Rascal,3D,11.04,2025-07-26,1969,"Drama,Family",6.3,585.0
Evelyn Howard,97077836,F,The Nearest Place to the Sky,3D,11.09,2025-11-28,1994,Drama,,
Gerald Graham,94516691,M,Mad Dogs,3D,13.66,2026-03-22,2016,Documentary,8.5,11.0
Tyler Murphy,20794888,M,Pronto? Anna sono io...,3D,11.14,2026-01-27,2023,Documentary,,
Luke Baker,10499899,M,Drip,3D,10.96,2025-11-29,,Horror,,
Lori Cunningham,20785097,F,Hard Boiled Sweets,Normal,7.37,2026-03-13,2012,"Crime,Thriller",4.8,881.0
Benjamin Poole,48591418,M,Trapped,Normal,6.69,2026-01-04,,Horror,,
Jacqueline Armstrong,43481811,F,Forgotten Dreams,3D,13.96,2026-05-19,2011,Drama,,
Nathan White,40669566,M,The Merchant of Venice,3D,10.02,2025-09-04,2015,Drama,,
Lindsay Johnson,13776441,F,The Zodiac Murders,Normal,7.53,2026-01-25,1975,Thriller,,
Michael Anderson,55117433,M,CHoisir à vingt ans,3D,11.79,2026-03-10,2017,"Documentary,History,War",6.6,17.0
Steven Hansen,75862352,M,The Master Gunfighter,Normal,7.2,2026-02-05,1975,"Drama,Western",4.5,462.0
Timothy Sanchez,94245321,M,Born Killers,Normal,6.62,2026-05-15,2005,"Crime,Drama",5.3,882.0
Sarah Sparks MD,70931003,F,So Sempe Chille,3D,10.82,2026-04-01,2019,Documentary,,
Michael Gibbs,30866429,M,In Akharin Safar,3D,13.67,2025-06-25,2008,,5.0,11.0
Mrs. Ashley Ryan MD,43970358,F,Muscle Memory,3D,12.74,2026-05-27,,"Comedy,Mystery,Romance",,
Joe Brown,12343377,M,Blood Rage,Normal,7.46,2026-04-23,1987,Horror,5.8,6509.0
Dawn Berg,22438238,F,Loved Me Back,3D,10.73,2026-04-08,,Romance,,
Brian Hooper,71378011,M,The Area,3D,13.45,2025-12-21,2018,Documentary,7.2,16.0
Andrew Robinson,65128187,M,The Alfred Victorian,Normal,7.71,2025-09-07,,Thriller,,
Sergio Jones,18180419,M,Wake Me Up,3D,13.76,2025-10-09,2018,Drama,6.1,46.0
Scott Alvarez,31959985,M,Village of Death: Oradour-sur-Glane 1944,3D,12.93,2026-06-02,2024,"Documentary,History,War",7.9,24.0
Richard Molina MD,26793945,M,Gendai newaza kurabe,Normal,7.73,2025-12-18,1971,,,
John Jones,46277305,M,Garuda,3D,11.6,2025-07-22,2004,"Action,Fantasy",4.2,448.0
Robert Stafford,48874588,M,Mediterranea,Normal,8.91,2026-01-28,2011,Music,,
Juan Salazar,63075514,M,The Kid of the World,3D,11.87,2025-11-08,2016,"Adventure,Family,Fantasy",,
Lindsey Berry,97761587,F,In Darkness We Live,Normal,6.99,2025-07-28,2014,"Drama,Horror,Mystery",2.4,10.0
Jessica Woods,49714159,F,Ami Shubhash Bolchi,Normal,8.9,2026-05-14,2011,Drama,7.0,248.0
Willie Anderson,39382348,M,The Extra Girl,3D,13.09,2025-12-22,1923,"Comedy,Romance",6.7,1252.0
Brittney Evans,18304598,F,Vorvik,Normal,8.83,2026-05-21,2005,Drama,5.0,88.0
Tony Davis,19109339,M,Broken Run,3D,10.98,2025-09-23,,"Action,Thriller",,
David Larson,75336634,M,Run Stinky Run,Normal,6.61,2026-02-08,2013,"Adventure,Comedy,Fantasy",,
Karen Brown,99629517,F,Pasionaria,Normal,6.36,2025-06-28,1952,"Crime,Drama",6.1,12.0
Wendy Miller,57496661,F,Filmworker,3D,11.92,2025-09-18,2017,"Biography,Documentary",7.4,3780.0
Cynthia Cunningham,50327378,F,Mein ganz gewöhnliches Leben,Normal,7.46,2026-02-11,2005,Drama,7.6,12.0
Jose Olson,25284692,M,Ezequiel,Normal,8.31,2026-03-01,2013,Documentary,,
Anna Lewis,27148846,F,Cool Cat vs Dirty Dog: The Virus Wars,3D,11.06,2025-12-19,2023,"Comedy,Family",2.7,145.0
Paige Bolton,56695503,F,Last Date,Normal,7.32,2025-06-20,2018,Comedy,,
Marco Ward,67631591,M,No Chance,Normal,7.18,2025-09-04,2020,Drama,,
Steven Davis,89975931,M,The Moments,3D,12.44,2026-02-24,2023,Documentary,,
Jonathan Jones,62090353,M,I Blew Out the Candles Before Making a Wish,3D,12.54,2026-01-26,2026,Drama,,
Nathan Johnson,33303827,M,The Blue Door,Normal,8.63,2026-03-27,,,,
Sarah Lowe,61192727,F,Vintage Erotica Anno 1920,3D,11.25,2025-07-26,2006,Drama,6.4,9.0
Mrs. Melissa Stone MD,62277422,F,Vice Squad,Normal,8.28,2026-01-25,1953,"Crime,Drama,Film-Noir",6.8,1607.0
Michele Armstrong,30519529,F,April,Normal,6.87,2025-08-31,2025,,6.9,10.0
Jane Barron,70066673,F,Fel a fejjel,3D,11.59,2025-06-20,1954,Comedy,7.5,99.0
Debra Baker,65252980,F,By This Time Next Year,Normal,7.79,2025-06-29,,Romance,,
Sydney Mitchell,45912253,F,Sullivan's Sluggers,3D,10.81,2026-05-10,,Horror,,
David Valentine,12238309,M,Jajantaram Mamantaram,3D,11.07,2026-03-14,2003,"Action,Adventure,Comedy",6.1,3166.0
Adrian Fuentes,66636606,M,I Met a Murderer,3D,12.49,2026-04-24,1939,"Crime,Drama,Romance",6.0,214.0
Mark Johns,80419467,M,Black,Normal,8.78,2026-06-06,2009,Drama,,
Eric King,33233294,M,Carmine: A Frightening Love Story,3D,12.91,2025-11-20,,Fantasy,,
Charles Williams,24779750,M,Fel a fejjel,3D,10.11,2025-09-30,1954,Comedy,7.5,99.0
David Wheeler,50335039,M,CHoisir à vingt ans,Normal,8.88,2025-09-29,2017,"Documentary,History,War",6.6,17.0
Kelly Williams,76118294,F,Drawing Out Genius,3D,13.33,2026-04-01,2014,Documentary,,
Joshua Figueroa,58331209,M,Vivahasammanam,3D,10.83,2026-03-25,1971,Drama,5.2,7.0
Scott Rose,25242164,M,Wet Under Blue Sky,Normal,8.55,2025-07-25,,Drama,,
Erin Ward,47259103,F,Shukradese,Normal,6.09,2025-10-15,2018,"Drama,Romance",,
Zachary Smith,91395311,M,Earth at Risk: Building a Resistance Movement to Save the Planet,3D,11.46,2025-06-13,2011,Documentary,7.4,15.0
Cheryl Castillo,78065489,F,J'irai où tu iras,3D,11.64,2025-12-14,2019,"Comedy,Drama",5.4,588.0
Jonathon Shaw,76750550,M,Chop Chop,Normal,7.89,2026-03-24,2001,Comedy,5.9,1315.0
Stephen Olson,91733131,M,Jebu Donga,Normal,8.32,2026-05-19,1975,,5.3,6.0
Amanda Daniels,54098373,F,Under Western Eyes,Normal,7.82,2025-09-05,1996,"Action,Comedy,Drama",7.4,54.0
Joyce Ortiz,17340664,F,Komediya davno minuvshikh dney,Normal,8.33,2026-05-06,1980,Comedy,5.3,72.0
